id,created_at,hour,minute,second,from_user_id,from_user_followercount,from_user_friendcount,lang,lat,lng,LGA_CODE,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,Counted_Census_Night_home_P,Lang_spoken_home_Eng_only_P,Australian_citizen_P,Marital_Prop,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Crime_Rate,Y,day,time,LGA,y1,total_positive,total_negative,timing_positive,timing_negative
9.63E+17,11/2/18,22,44,0,2890425948,1421,109,en,-33.847034,151.063354,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,0,0,0,0,0,0,0,269.8,0.5,6,4,parramatta,28.21533591,90,27,2.266666667,2.259259259
9.63E+17,11/2/18,23,32,0,7.52E+17,891,585,en,-33.847034,151.063354,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,1,0,1,1,269.8,0.5,6,4,parramatta,28.21533591,90,27,2.266666667,2.259259259
9.63E+17,11/2/18,23,46,0,955265252,231,872,en,-33.8167,151,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,1,0,1,1,269.8,0.5,6,4,parramatta,28.21533591,90,27,2.266666667,2.259259259
9.63E+17,12/2/18,0,23,0,715448484,144,580,en,-33.807976,150.999817,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,0,0,1,0,1,0,-1,269.8,0.5,0,1,parramatta,5.351206505,90,27,2.266666667,2.259259259
9.63E+17,12/2/18,0,30,0,93516445,5798,536,en,-33.840309,151.06752,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,1,0,0,1,0,2,2,269.8,0.5,0,1,parramatta,5.351206505,90,27,2.266666667,2.259259259
9.63E+17,12/2/18,0,30,0,516946549,231,817,en,-33.80896,151.005615,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,0,1,parramatta,5.351206505,90,27,2.266666667,2.259259259
9.63E+17,12/2/18,0,48,0,516946549,231,817,en,-33.80896,151.005615,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,0,1,parramatta,5.351206505,90,27,2.266666667,2.259259259
9.63E+17,12/2/18,0,49,0,86226606,7792,2186,en,-33.844685,151.067749,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,1,0,-1,269.8,0.5,0,1,parramatta,5.351206505,90,27,2.266666667,2.259259259
9.63E+17,12/2/18,2,6,0,16950712,2388,2431,en,-33.81559,150.999817,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,0,0,0,1,1,1,0,269.8,0.5,0,1,parramatta,5.351206505,90,27,2.266666667,2.259259259
9.63E+17,12/2/18,2,32,0,6.95E+17,15,47,en,-33.802143,151.040222,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,0,1,parramatta,5.351206505,90,27,2.266666667,2.259259259
9.63E+17,12/2/18,3,10,0,516946549,231,817,en,-33.80896,151.005615,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,1,1,269.8,0.5,0,1,parramatta,5.351206505,90,27,2.266666667,2.259259259
9.63E+17,12/2/18,4,31,0,105785786,120,71,en,-33.8493,151.078003,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,1,0,0,1,0,1,1,269.8,0.5,0,1,parramatta,5.351206505,90,27,2.266666667,2.259259259
9.63E+17,12/2/18,5,48,0,35624175,449,302,en,-33.814999,151.001114,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,2,0,1,1,269.8,0.5,0,1,parramatta,5.351206505,90,27,2.266666667,2.259259259
9.63E+17,12/2/18,6,24,0,93516445,5798,536,en,-33.833549,151.074585,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,0,2,parramatta,11.18874061,90,27,2.266666667,2.259259259
9.63E+17,12/2/18,7,49,0,327979406,41,90,en,-33.771,151.080994,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,1,0,-1,269.8,0.5,0,2,parramatta,11.18874061,90,27,2.266666667,2.259259259
